"No","Title_E","OctetNo","Contents_E","Note_E","Status"
460.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
461.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
462.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
463.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
464.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt47n","Operational"
465.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cutoff",,"Operational"
466.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
467.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
468.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
469.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
470.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
471.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
472.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
473.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
474.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
475.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
476.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
477.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
478.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
479.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt48n","Operational"
480.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cutoff",,"Operational"
481.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
482.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Pdt48n","Operational"
483.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
484.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
485.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
486.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
487.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
488.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
489.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35-36","Year - time of end of overall time interval",,"Operational"
490.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","37","Month - time of end of overall time interval",,"Operational"
491.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Day - time of end of overall time interval",,"Operational"
492.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39","Hour - time of end of overall time interval",,"Operational"
493.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","40","Minute - time of end of overall time interval",,"Operational"
494.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","41","Second - time of end of overall time interval",,"Operational"
495.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","42","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Operational"
496.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43-46","Total number of data values missing in statistical process",,"Operational"
497.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"47-58   Specification of the outermost (or only) time range over which statistical processing is done",,"Operational"
498.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","47","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_6_0_1_codeflag.doc#G2_CF410","Operational"
499.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_6_0_1_codeflag.doc#G2_CF411","Operational"
500.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","49","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
501.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50-53","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Operational"
502.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","54","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
503.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55-58","Time increment between successive fields, in units defined by the previous octet","(see Notes 3 and 4)#GRIB2_6_0_1_temp.doc#G2_Pdt48n","Operational"
504.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"59-nn   These octets are included only if n>1, where nn = 46 + 12*n",,"Operational"
505.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","59-70","As octets 47 to 58, next innermost step of processing",,"Operational"
506.00,"Product definition template 4.8 - average, accumulation and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","71-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 47 to 58, repeated as necessary",,"Operational"
507.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
508.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
509.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
510.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
511.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
512.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt49n","Operational"
513.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cutoff",,"Operational"
514.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
515.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Pdt49n","Operational"
516.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
517.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
518.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
519.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
520.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
521.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
522.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Forecast probability number",,"Operational"
523.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36","Total number of forecast probabilities",,"Operational"
524.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","37","Probability type","(see Code table 4.9)#GRIB2_6_0_1_codeflag.doc#G2_CF49","Operational"
525.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Scale factor of lower limit",,"Operational"
526.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39-42","Scaled value of lower limit",,"Operational"
527.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43","Scale factor of upper limit",,"Operational"
528.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","44-47","Scaled value of upper limit",,"Operational"
529.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48-49","Year of end of overall time interval",,"Operational"
530.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50","Month of end of overall time interval",,"Operational"
531.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","51","Day of end of overall time interval",,"Operational"
532.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","52","Hour of end of overall time interval",,"Operational"
533.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","53","Minute of end of overall time interval",,"Operational"
534.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","54","Second of end of overall time interval",,"Operational"
535.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Operational"
536.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","56-59","Total number of data values missing in the statistical process",,"Operational"
537.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"60-71   Specification of the outermost (or only) time range over which statistical processing is done",,"Operational"
538.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","60","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_6_0_1_codeflag.doc#G2_CF410","Operational"
539.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","61","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_6_0_1_codeflag.doc#G2_CF411","Operational"
540.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","62","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
541.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","63-66","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Operational"
542.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","67","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
543.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","68-71","Time increment between successive fields, in units defined by the previous octet","(see Note 3)#GRIB2_6_0_1_temp.doc#G2_Pdt49n","Operational"
544.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"72-nn   These octets are included only if n>1, where nn = 59 + 12*n",,"Operational"
545.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","72-83","As octets 60 to 71, next innermost step of processing",,"Operational"
546.00,"Product definition template 4.9 - probability forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","84-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 60 to 71, repeated as necessary.",,"Operational"
547.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Validation"
548.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Validation"
549.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Validation"
550.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Validation"
551.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Validation"
552.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt410n","Validation"
553.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time for data cutoff",,"Validation"
554.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Validation"
555.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by previous octet","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Pdt410n","Validation"
556.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Validation"
557.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Validation"
558.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Validation"
559.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Validation"
560.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Validation"
561.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Validation"
562.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Percentile value (from 100% to 0%)",,"Validation"
563.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36-37","Year of end of overall time interval",,"Validation"
564.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38","Month of end of overall time interval",,"Validation"
565.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","39","Day of end of overall time interval",,"Validation"
566.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","40","Hour of end of overall time interval",,"Validation"
567.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","41","Minute of end of overall time interval",,"Validation"
568.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","42","Second of end of overall time interval",,"Validation"
569.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Validation"
570.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","44-47","Total number of data values missing in the statistical process",,"Validation"
571.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"48-59   Specification of the outermost (or only) time range over which statistical processing is done",,"Validation"
572.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","48","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_6_0_1_codeflag.doc#G2_CF410","Validation"
573.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","49","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_6_0_1_codeflag.doc#G2_CF411","Validation"
574.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","50","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Validation"
575.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","51-54","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Validation"
576.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","55","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Validation"
577.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","56-59","Time increment between successive fields, in units defined by the previous octet","(see Note 3)#GRIB2_6_0_1_temp.doc#G2_Pdt410n","Validation"
578.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval",,"60-nn   These octets are included only if n>1, where nn = 47 + 12 x n",,"Validation"
579.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","60-71","As octets 48-59, next innermost step of processing",,"Validation"
580.00,"Product definition template 4.10 - percentile forecasts at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","72-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 48 to 59, repeated as necessary.",,"Validation"
581.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
582.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
583.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
584.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","13","Background generating process identifier (defined by originating centre)",,"Operational"
585.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
586.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","15-16","Hours after reference time of data cutoff","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt411n","Operational"
587.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","17","Minutes after reference time of data cutoff",,"Operational"
588.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
589.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","19-22","Forecast time in units defined by octet 18","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Pdt411n","Operational"
590.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","23","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
591.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","24","Scale factor of first fixed surface",,"Operational"
592.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","25-28","Scaled value of first fixed surface",,"Operational"
593.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","29","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
594.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","30","Scale factor of second fixed surface",,"Operational"
595.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","31-34","Scaled value of second fixed surface",,"Operational"
596.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","35","Type of ensemble forecast","(see Code table 4.6)#GRIB2_6_0_1_codeflag.doc#G2_CF46","Operational"
597.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","36","Perturbation number",,"Operational"
598.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","37","Number of forecasts in ensemble",,"Operational"
599.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","38-39","Year of end of overall time interval",,"Operational"
600.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","40","Month of end of overall time interval",,"Operational"
601.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","41","Day of end of overall time interval",,"Operational"
602.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","42","Hour of end of overall time interval",,"Operational"
603.00,"Product definition template 4.11 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval","43","Minute of end of overall time interval",,"Operational"
