"No","Code","Agency_E","Type_E","InstrumentShortName_E","InstrumentLongName_E","Status"
178.00,"552","NOAA","Space environment","SSIES-2","Special sensor ionospheric plasma drift/scintillation meter","Operational"
179.00,"553","NOAA","Space environment","SSB/X-2","Special sensor gamma ray particle detector","Operational"
180.00,"570","NOAA","Radiometer","AMSU-A","Advanced microwave sounding unit-A","Operational"
181.00,"574","NOAA","Radiometer","AMSU-B","Advanced microwave sounding unit-B","Operational"
182.00,"580","NOAA","Radiometer","ATOVS (HIRS/3 + AMSU + AVHRR/3)","Advanced TIROS operational vertical sounder","Operational"
183.00,"590","NOAA","Radiometer","AVHRR/2","Advanced very high-resolution radiometer/2","Operational"
184.00,"591","NOAA","Radiometer","AVHRR/3","Advanced very high-resolution radiometer/3","Operational"
185.00,"592","NOAA","Radiometer","AVHRR/4","Advanced very high-resolution radiometer/4","Operational"
186.00,"600","NOAA","Radiometer","ERBE","Earth's radiation budget experiment","Operational"
187.00,"601","NOAA","Radiometer","ETM+","Enhanced thematic mapper","Operational"
188.00,"605","NOAA","Radiometer","HIRS/2","High-resolution infrared sounder/2","Operational"
189.00,"606","NOAA","Radiometer","HIRS/3","High-resolution infrared sounder/3","Operational"
190.00,"607","NOAA","Radiometer","HIRS/4","High-resolution infrared sounder/4","Operational"
191.00,"615","NOAA","Radiometer","IMAGER","Imager","Operational"
192.00,"616","NOAA","Imaging multi-spectral radiometer (vis/IR)","VIIRS","Visible/infrared imager radiometer suite","Operational"
193.00,"620","NOAA","Atmospheric temperature and humidity sounder","CrIRS/NP","Cross track infrared sounder/NPOESS","Operational"
194.00,"621","NOAA","Atmospheric temperature and humidity sounder","ATMS","Advanced technology microwave sounder","Operational"
195.00,"622","NOAA","Radiometer","MSS","Multispectral scanning system","Operational"
196.00,"623","NOAA","Radiometer","MSU","Microwave sounding unit","Operational"
197.00,"624","NOAA","Radiometer","SBUV/2","Solar backscatter ultraviolet instrument/2","Operational"
198.00,"625","NOAA","Radiometer","SBUV/3","Solar backscatter ultraviolet instrument/3","Operational"
199.00,"626","NOAA","Radiometer","SOUNDER","SOUNDER","Operational"
200.00,"627","NOAA","Radiometer","SSU","Stratospheric sounding unit","Operational"
201.00,"628","NOAA","Radiometer","TM","Thematic mapper","Operational"
202.00,"629","NOAA","Radiometer","TOVS (HIRS/2 + MSU + SSU)","TIROS operational vertical sounder","Operational"
203.00,"630","NOAA","Radiometer","VAS","VISSR atmospheric sounder","Operational"
204.00,"631","NOAA","Radiometer","SSZ",,"Operational"
205.00,"645","NOAA","Spectrometer","SEM","Space environment monitor","Operational"
206.00,"650","NRSCC","Radiometer","MVIRSR (10 channel)","Multispectral visible and infrared scan radiometer","Operational"
207.00,"651","NRSCC","Radiometer","MVIRSR (3 channel)","Multispectral visible and infrared scan radiometer","Operational"
208.00,"652","NRSCC","Radiometer","MVIRSR (5 channel)","Multispectral visible and infrared scan radiometer","Operational"
209.00,"670","NSAU","Radar","RLSBO","Side looking microwave radar","Operational"
210.00,"680","NSAU","High-resolution optical imager","MSU-EU","Multi-spectral radiometer with high resolution","Operational"
211.00,"681","NSAU","Imaging multi-spectral radiometer (vis/IR)","MSU-UM","Visible multi-spectral radiometer","Operational"
212.00,"682","NSAU","Radiometer","RM-08","Imaging microwave radiometer","Operational"
213.00,"683","NSAU","High-resolution optical imager","SU-UMS","Stereo radiometer with high resolution","Operational"
214.00,"684","NSAU","High-resolution optical imager","SU-VR","Visible radiometer with high resolution","Operational"
215.00,"685","NSAU","Radiometer","TRASSER",,"Operational"
216.00,"700","ROSCOSMOS","Communications","KONDOR-2","Data collection and transmission system","Operational"
217.00,"701","ROSCOSMOS","Communications","BRK",,"Operational"
218.00,"710","ROSCOSMOS","Lidar","ALISSA","Backscatter lidar","Operational"
219.00,"712","ROSCOSMOS","Lidar","Balkan-2 lidar",,"Operational"
220.00,"715","ROSCOSMOS","Lidar","MK-4",,"Operational"
221.00,"716","ROSCOSMOS","Lidar","MK-4M",,"Operational"
222.00,"730","ROSCOSMOS","Radar","Greben","Radar altimeter","Operational"
223.00,"731","ROSCOSMOS","Radar","SAR-10","Synthetic aperture radar","Operational"
224.00,"732","ROSCOSMOS","Radar","SAR-3","Synthetic aperture radar","Operational"
225.00,"733","ROSCOSMOS","Radar","SAR-70","Synthetic aperture radar","Operational"
226.00,"740","ROSCOSMOS","Radar","SLR-3","Side looking radar","Operational"
227.00,"745","ROSCOSMOS","Radar","Travers SAR",,"Operational"
228.00,"750","ROSCOSMOS","Radiometer","174-K","Temperature and humidity profiler","Operational"
229.00,"751","ROSCOSMOS","Radiometer","BTVK","Scanning television radiometer","Operational"
230.00,"752","ROSCOSMOS","Radiometer","Chaika","Scanning infrared radiometer","Operational"
231.00,"753","ROSCOSMOS","Radiometer","DELTA-2","Multispectral microwave scanner","Operational"
232.00,"755","ROSCOSMOS","Radiometer","IKAR-D","Multispectral microwave scanner","Operational"
233.00,"756","ROSCOSMOS","Radiometer","IKAR-N","Multispectral microwave scanner","Operational"
234.00,"757","ROSCOSMOS","Radiometer","IKAR-P","Multispectral microwave scanner","Operational"
235.00,"760","ROSCOSMOS","Radiometer","ISP",,"Operational"
236.00,"761","ROSCOSMOS","Radiometer","KFA-1000","Photographic camera","Operational"
237.00,"762","ROSCOSMOS","Radiometer","KFA-200","Photographic camera","Operational"
238.00,"763","ROSCOSMOS","Radiometer","KFA-3000","Photographic camera","Operational"
239.00,"770","ROSCOSMOS","Radiometer","Klimat","Scanning infrared radiometer","Operational"
240.00,"771","ROSCOSMOS","Radiometer","Klimat-2","Scanning infrared radiometer","Operational"
241.00,"775","ROSCOSMOS","Radiometer","MIRAS",,"Operational"
242.00,"776","ROSCOSMOS","Radiometer","MIVZA",,"Operational"
243.00,"777","ROSCOSMOS","Radiometer","MIVZA-M","Microwave scanning radiometer","Operational"
244.00,"780","ROSCOSMOS","Radiometer","MR-2000",,"Operational"
245.00,"781","ROSCOSMOS","Radiometer","MR-2000M",,"Operational"
246.00,"785","ROSCOSMOS","Radiometer","MR-900","Scanning telephotometer","Operational"
247.00,"786","ROSCOSMOS","Radiometer","MR-900B","Scanning visual band telephotometer","Operational"
248.00,"790","ROSCOSMOS","Radiometer","MSU-E","Multispectral high-resolution electronic scanner","Operational"
249.00,"791","ROSCOSMOS","Radiometer","MSU-E1","Multispectral high-resolution electronic scanner","Operational"
250.00,"792","ROSCOSMOS","Radiometer","MSU-E2","Multispectral high-resolution electronic scanner","Operational"
251.00,"793","ROSCOSMOS","Radiometer","MSU-M",,"Operational"
252.00,"794","ROSCOSMOS","Radiometer","MSU-S","Multispectral medium-resolution scanner","Operational"
253.00,"795","ROSCOSMOS","Radiometer","MSU-SK","Multispectral medium-resolution conical scanner","Operational"
254.00,"796","ROSCOSMOS","Radiometer","MSU-V","Multispectral high-resolution conical scanner","Operational"
255.00,"810","ROSCOSMOS","Radiometer","MTZA","Scanning microwave radiometer","Operational"
256.00,"815","ROSCOSMOS","Imaging multi-spectral radiometer (passive microwave)","MZOAS","Scanning microwave radiometer","Operational"
257.00,"820","ROSCOSMOS","Imaging multi-spectral radiometer (passive microwave)","R-225","Single channel microwave radiometer","Operational"
258.00,"821","ROSCOSMOS","Radiometer","R-400",,"Operational"
259.00,"822","ROSCOSMOS","Radiometer","R-600","Single channel microwave radiometer","Operational"
260.00,"830","ROSCOSMOS","Radiometer","RMS","Radiation measurement system","Operational"
261.00,"835","ROSCOSMOS","Radiometer","TV camera",,"Operational"
262.00,"836","ROSCOSMOS","Radiometer","SILVA",,"Operational"
