"No","Title_E","SubTitle_E","CodeFlag","Value","MeaningParameterDescription_E","Note_E","UnitComments_E","Status"
583,"Code table 4.2 - Parameter number by product discipline and parameter category","Product Discipline 0 - Meteorological products, parameter category 16: Forecast radar imagery","1",,"Equivalent radar reflectivity factor for snow",,"mm6 m-3","Operational"
584,"Code table 4.2 - Parameter number by product discipline and parameter category","Product Discipline 0 - Meteorological products, parameter category 16: Forecast radar imagery","2",,"Equivalent radar reflectivity factor for parameterized convection",,"mm6 m-3","Operational"
585,"Code table 4.2 - Parameter number by product discipline and parameter category","Product Discipline 0 - Meteorological products, parameter category 16: Forecast radar imagery","3",,"Echo top",,"m","Operational"
586,"Code table 4.2 - Parameter number by product discipline and parameter category","Product Discipline 0 - Meteorological products, parameter category 16: Forecast radar imagery","4",,"Reflectivity",,"dB","Operational"
587,"Code table 4.2 - Parameter number by product discipline and parameter category","Product Discipline 0 - Meteorological products, parameter category 16: Forecast radar imagery","5",,"Composite reflectivity",,"dB","Operational"
588,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","0",,"Air concentration of Caesium 137",,"Bq m-3","Operational"
589,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","1",,"Air concentration of iodine 131",,"Bq m-3","Operational"
590,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","2",,"Air concentration of radioactive pollutant",,"Bq m-3","Operational"
591,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","3",,"Ground deposition of Caesium 137",,"Bq m-2","Operational"
592,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","4",,"Ground deposition of iodine 131",,"Bq m-2","Operational"
593,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","5",,"Ground deposition of radioactive pollutant",,"Bq m-2","Operational"
594,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","6",,"Time-integrated air concentration of caesium pollutant","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_018n","Bq s m-3","Deprecated"
595,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","7",,"Time-integrated air concentration of iodine pollutant","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_018n","Bq s m-3","Deprecated"
596,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","8",,"Time-integrated air concentration of radioactive pollutant","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_018n","Bq s m-3","Deprecated"
597,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","9",,"Reserved",,,"Operational"
598,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","10",,"Air concentration",,"Bq m-3","Operational"
599,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","11",,"Wet deposition",,"Bq m-2","Operational"
600,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","12",,"Dry deposition",,"Bq m-2","Operational"
601,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","13",,"Total deposition (wet + dry)",,"Bq m-2","Operational"
602,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","14-191",,"Reserved",,,"Operational"
603,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","192-254",,"Reserved for local use",,,"Operational"
604,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 18: nuclear/radiology","255",,"Missing",,,"Operational"
605,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","0",,"Visibility",,"m","Operational"
606,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","1",,"Albedo",,"%","Operational"
607,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","2",,"Thunderstorm probability",,"%","Operational"
608,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","3",,"Mixed layer depth",,"m","Operational"
609,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","4",,"Volcanic ash",,"(Code table 4.206)","Operational"
610,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","5",,"Icing top",,"m","Operational"
611,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","6",,"Icing base",,"m","Operational"
612,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","7",,"Icing",,"(Code table 4.207)","Operational"
613,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","8",,"Turbulence top",,"m","Operational"
614,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","9",,"Turbulence base",,"m","Operational"
615,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","10",,"Turbulence",,"(Code table 4.208)","Operational"
616,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","11",,"Turbulent kinetic energy",,"J/kg","Operational"
617,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","12",,"Planetary boundary-layer regime",,"(Code table 4.209)","Operational"
618,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","13",,"Contrail intensity",,"(Code table 4.210)","Operational"
619,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","14",,"Contrail engine type",,"(Code table 4.211)","Operational"
620,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","15",,"Contrail top",,"m","Operational"
621,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","16",,"Contrail base",,"m","Operational"
622,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","17",,"Maximum snow albedo","(see Note 1)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_019n","%","Deprecated"
623,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","18",,"Snow free albedo",,"%","Operational"
624,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","19",,"Snow albedo",,"%","Operational"
625,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","20",,"Icing",,"%","Operational"
626,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","21",,"In-cloud turbulence",,"%","Operational"
627,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","22",,"Clear air turbulence (CAT)",,"%","Operational"
628,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","23",,"Supercooled large droplet probability","(see Note 2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_019n","%","Operational"
629,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","24",,"Convective turbulent kinetic energy",,"J/kg","Validation"
630,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","25",,"Weather Interpretation ww (WMO)",,"-","Validation"
631,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","26",,"Convective outlook",,"Code table 4.224","Operational"
632,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","27-191",,"Reserved",,,"Operational"
633,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","192-254",,"Reserved for local use",,,"Operational"
634,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 19: physical atmospheric properties","255",,"Missing",,,"Operational"
635,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","0",,"Mass density (concentration)",,"kg m-3","Operational"
636,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","1",,"Column-integrated mass density","(see Note)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_020n","kg m-2","Operational"
637,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","2",,"Mass mixing ratio (mass fraction in air)",,"kg/kg","Operational"
638,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","3",,"Atmosphere emission mass flux",,"kg m-2 s-1","Operational"
639,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","4",,"Atmosphere net production mass flux",,"kg m-2 s-1","Operational"
640,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","5",,"Atmosphere net production and emission mass flux",,"kg m-2 s-1","Operational"
641,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","6",,"Surface dry deposition mass flux",,"kg m-2 s-1","Operational"
642,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","7",,"Surface wet deposition mass flux",,"kg m-2 s-1","Operational"
643,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","8",,"Atmosphere re-emission mass flux",,"kg m-2 s-1","Operational"
644,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","9-49",,"Reserved",,,"Operational"
645,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","50",,"Amount in atmosphere",,"mol","Operational"
646,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","51",,"Concentration in air",,"mol m-3","Operational"
647,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","52",,"Volume mixing ratio (fraction in air)",,"mol/mol","Operational"
648,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","53",,"Chemical gross production rate of concentration",,"mol m-3 s-1","Operational"
649,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","54",,"Chemical gross destruction rate of concentration",,"mol m-3 s-1","Operational"
650,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","55",,"Surface flux",,"mol m-2 s-1","Operational"
651,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","56",,"Changes of amount in atmosphere","(see Note)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_020n","mol/s","Operational"
652,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","57",,"Total yearly average burden of the atmosphere",,"mol","Operational"
653,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","58",,"Total yearly averaged atmospheric loss","(see Note)#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_020n","mol/s","Operational"
654,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","59-99",,"Reserved",,,"Operational"
655,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","100",,"Surface area density (aerosol)",,"/m","Operational"
656,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","101",,"Atmosphere optical thickness",,"m","Operational"
657,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","102-191",,"Reserved",,,"Operational"
658,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","192-254",,"Reserved for local use",,,"Operational"
659,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 20: Atmospheric chemical constituents","255",,"Missing",,,"Operational"
660,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 190: CCITT IA5 string","0",,"Arbitrary text string",,"CCITT IA5","Operational"
661,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 190: CCITT IA5 string","1-191",,"Reserved",,,"Operational"
662,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 190: CCITT IA5 string","192-254",,"Reserved for local use",,,"Operational"
663,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 190: CCITT IA5 string","255",,"Missing",,,"Operational"
664,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 191: miscellaneous","0",,"Seconds prior to initial reference time (defined in Section 1)",,"s","Operational"
665,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 191: miscellaneous","1",,"Geographical latitude",,"deg N","Validation"
666,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 191: miscellaneous","2",,"Geographical longitude",,"deg E","Validation"
667,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 191: miscellaneous","3-191",,"Reserved",,,"Validation"
668,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 191: miscellaneous","192-254",,"Reserved for local use",,,"Operational"
669,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 191: miscellaneous","255",,"Missing value",,,"Operational"
670,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","0",,"Flash flood guidance (Encoded as an accumulation over a floating subinterval of time between the reference time and valid time)",,"kg m-2","Operational"
671,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","1",,"Flash flood runoff (Encoded as an accumulation over a floating subinterval of time)",,"kg m-2","Operational"
672,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","2",,"Remotely-sensed snow cover",,"(Code table 4.215)","Operational"
673,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","3",,"Elevation of snow-covered terrain",,"(Code table 4.216)","Operational"
674,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","4",,"Snow water equivalent per cent of normal",,"%","Operational"
675,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","5",,"Baseflow-groundwater runoff",,"kg m-2","Operational"
676,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","6",,"Storm surface runoff",,"kg m-2","Operational"
677,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","7-191",,"Reserved",,,"Operational"
678,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","192-254",,"Reserved for local use",,,"Operational"
679,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 0: hydrology basic products","255",,"Missing",,,"Operational"
680,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 1: hydrology probabilities","0",,"Conditional per cent precipitation amount fractile for an overall period (Encoded as an accumulation)",,"kg m-2","Operational"
681,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 1: hydrology probabilities","1",,"Per cent precipitation in a sub-period of an overall period (Encoded as per cent accumulation over the sub-period)",,"%","Operational"
682,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 1: hydrology probabilities","2",,"Probability of 0.01 inch of precipitation (POP)",,"%","Operational"
683,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 1: hydrology probabilities","3-191",,"Reserved",,,"Operational"
684,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 1: hydrology probabilities","192-254",,"Reserved for local use",,,"Operational"
685,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 1 - Hydrological products, parameter category 1: hydrology probabilities","255",,"Missing",,,"Operational"
686,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","0",,"Land cover (0 = sea, 1 = land)",,"Proportion","Operational"
687,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","1",,"Surface roughness",,"m","Operational"
688,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","2",,"Soil temperature",,"K","Validation (to deprecate)"
689,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","3",,"Soil moisture content","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_20n","kg m-2","Deprecated"
690,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","4",,"Vegetation",,"%","Operational"
691,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","5",,"Water runoff",,"kg m-2","Operational"
692,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","6",,"Evapotranspiration",,"kg-2 s-1","Operational"
693,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","7",,"Model terrain height",,"m","Operational"
694,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","8",,"Land use",,"(Code table 4.212)","Operational"
695,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","9",,"Volumetric soil moisture content","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_20n","Proportion","Not to use"
696,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","10",,"Ground heat flux","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_20n","W m-2","Deprecated"
697,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","11",,"Moisture availability",,"%","Operational"
698,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","12",,"Exchange coefficient",,"kg m-2 s-1","Operational"
699,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","13",,"Plant canopy surface water",,"kg m-2","Operational"
700,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","14",,"Blackadar’s mixing length scale",,"m","Operational"
701,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","15",,"Canopy conductance",,"m/s","Operational"
702,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","16",,"Minimal stomatal resistance",,"s/m","Operational"
703,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","17",,"Wilting point","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_20n","Proportion","No to use"
704,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","18",,"Solar parameter in canopy conductance",,"Proportion","Operational"
705,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","19",,"Temperature parameter in canopy",,"Proportion","Operational"
706,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","20",,"Humidity parameter in canopy conductance",,"Proportion","Operational"
707,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","21",,"Soil moisture parameter in canopy conductance",,"Proportion","Operational"
708,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","22",,"Soil moisture",,"kg m-3","Validation (to deprecate)"
709,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","23",,"Column-integrated soil water",,"kg m-2","Validation (to deprecate)"
710,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","24",,"Heat flux",,"W m-2","Operational"
711,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","25",,"Volumetric soil moisture",,"m3 m-3","Operational"
712,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","26",,"Wilting point",,"kg m-3","Operational"
713,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","27",,"Volumetric wilting point",,"m3 m-3","Operational"
714,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","28",,"Leaf area index",,"Numeric","Validation"
715,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","29",,"Evergreen forest",,"Numeric","Validation"
716,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","30",,"Deciduous forest",,"Numeric","Validation"
717,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","31",,"Normalized differential vegetation index (NDVI)",,"Numeric","Validation"
718,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","32",,"Root depth of vegetation",,"m","Validation"
719,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","33-191",,"Reserved",,,"Validation"
720,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","192-254",,"Reserved for local use",,,"Operational"
721,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass","255",,"Missing",,,"Operational"
722,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","0",,"Soil type",,"(Code table 4.213)","Operational"
723,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","1",,"Upper layer soil temperature","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","K","Deprecated"
724,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","2",,"Upper layer soil moisture","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","kg m-3","Deprecated"
725,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","3",,"Lower layer soil moisture","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","kg m-3","Deprecated"
726,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","4",,"Bottom layer soil temperature","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","K","Deprecated"
727,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","5",,"Liquid volumetric soil moisture (non-frozen)","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","Proportion","Not to use"
728,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","6",,"Number of soil layers in root zone",,"Numeric","Operational"
729,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","7",,"Transpiration stress-onset (soil moisture)","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","Proportion","Not to use"
730,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","8",,"Direct evaporation cease (soil moisture)","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","Proportion","Not to use"
731,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","9",,"Soil porosity","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_23n","Proportion","Not to use"
732,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","10",,"Liquid volumetric soil moisture (non-frozen)",,"m3 m-3","Operational"
733,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","11",,"Volumetric transpiration stress-onset (soil moisture)",,"m3 m-3","Operational"
734,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 2 - Land surface products, parameter category 3: soil products","12",,"Transpiration stress-onset (soil moisture)",,"kg m-3","Operational"
